author_id,award_year,pre_avg_citations,post_avg_citations,pre_avg_works,post_avg_works,lift_citations,lift_works,conference,author_position,group,treatment
A5016874794,2013,47.0,29.4,3.2,5.2,0.625531914893617,1.625,VLDB,first,nonaward,
A5016963468,2004,336.8,92.8,4.8,3.2,0.2755344418052256,0.6666666666666667,ICSE,middle,nonaward,
A5017016232,2014,147.8,95.8,5.0,5.8,0.6481732070365358,1.16,SODA,last,nonaward,
A5017183605,2018,5.2,11.0,1.0,4.2,2.1153846153846154,4.2,AAAI,last,nonaward,
A5017306399,2017,729.4,312.8,33.8,24.6,0.4288456265423636,0.727810650887574,VLDB,middle,nonaward,
A5017319081,2016,37.0,86.8,0.2,3.2,2.345945945945946,16.0,NSDI,middle,nonaward,
A5017381278,2008,816.8,4047.8,8.2,14.0,4.95568070519099,1.707317073170732,OSDI,middle,nonaward,
A5017619650,2017,233.6,110.2,11.0,14.8,0.4717465753424658,1.3454545454545457,VLDB,last,nonaward,
A5017661088,2016,1.2,13.2,0.2,1.8,11.0,9.0,OSDI,middle,nonaward,
A5017667209,2018,129.8,139.8,4.6,5.8,1.077041602465331,1.2608695652173914,SODA,middle,nonaward,
A5017691528,2009,660.6,573.4,10.0,15.0,0.8679987889797154,1.5,CHI,first,nonaward,
A5017722636,2011,0.0,0.0,0.0,0.0,,,FOCS,first,nonaward,
A5017736224,2014,1036.8,824.0,31.4,46.4,0.7947530864197532,1.4777070063694269,INFOCOM,middle,nonaward,
A5017775499,2006,3.6,0.0,0.2,0.0,0.0,0.0,OSDI,middle,nonaward,
A5017812909,2018,0.0,0.6,0.8,0.8,,1.0,UIST,last,nonaward,
A5017903772,2017,290.4,121.6,15.4,10.2,0.418732782369146,0.6623376623376622,PLDI,first,nonaward,
A5017920742,2008,0.0,0.0,0.0,0.0,,,CHI,last,nonaward,
A5017943933,2018,54.0,58.6,4.4,8.6,1.0851851851851853,1.9545454545454544,ACL,last,nonaward,
A5018143444,2016,278.8,186.8,5.8,9.0,0.6700143472022956,1.5517241379310345,IJCAI,last,nonaward,
A5018263124,2015,21.6,0.0,0.6,0.2,0.0,0.3333333333333333,CHI,middle,nonaward,
A5018484044,2005,10.8,0.6,0.2,0.4,0.0555555555555555,2.0,SOSP,last,nonaward,
A5018503243,2011,0.0,123.2,0.2,3.2,,16.0,ACL,last,nonaward,
A5018571347,2016,2248.0,559.2,92.6,29.0,0.2487544483985765,0.3131749460043196,UIST,middle,nonaward,
A5018641849,2014,95.6,211.4,15.4,12.8,2.2112970711297075,0.8311688311688312,MOBICOM,first,nonaward,
