award_id,conference,year,award_title,best_score
315,CHI,2009,Social Immersive Media: Pursuing Best Practices for Multi-user Interactive Camera/Projector Exhibits,38
316,CHI,2009,Ephemeral Adaptation: The Use of Gradual Onset to Improve Menu Selection Performance,36
325,SOSP,2009,FAWN: A Fast Array of Wimpy Nodes,28
326,SOSP,2009,RouteBricks: Exploiting Parallelism to Scale Software Routers,0
327,SOSP,2009,seL4: Formal Verification of an OS Kernel,37
329,CHI,2008,Designs on Dignity: Perceptions of Technology Among the Homeless,32
331,CHI,2008,In-Car GPS Navigation: Engagement with and Disengagement from the Environment,43
334,CHI,2008,The Network in the Garden: An Empirical Analysis of Social Media in Rural Life,43
335,ICML,2008,SVM Optimization: Inverse Dependence on Training Set Size,41
338,ICSE,2008,Debugging Reinvented: Asking and Answering Why and Why Not Questions about Program Behavior,28
340,ICSE,2008,Predicting Accurate and Actionable Static Analysis Warnings: An Experimental Approach,35
343,OSDI,2008,Difference Engine: Harnessing Memory Redundancy in Virtual Machines,32
348,CHI,2007,Multiview: improving trust in group video conferencing through spatial faithfulness,0
349,CHI,2007,Shift: a technique for operating pen-based interfaces using touch,40
350,CHI,2007,Software or wetware?: discovering when and why people use digital prosthetic memory,27
351,CHI,2007,"Sustainable interaction design: invention & disposal, renewal & reuse",36
358,PLDI,2007,The Ant and the Grasshopper: Fast and Accurate Pointer Analysis for Millions of Lines of Code,0
361,SOSP,2007,Sinfonia: a new paradigm for building scalable distributed systems,24
362,SOSP,2007,Zyzzyva: speculative byzantine fault tolerance,20
365,CHI,2006,Embedded phenomena: supporting science learning with classroom-sized distributed simulations,22
372,SIGMOD,2006,To search or to crawl?: towards a query optimizer for text-centric tasks,37
373,CHI,2005,The bubble cursor: enhancing target acquisition by dynamic resizing of the cursor's activation area,0
382,PLDI,2005,Automatic Pool Allocation: Improving Performance by Controlling Data Structure Layout in the Heap,41
384,SOSP,2005,Rx: treating bugs as allergies - a safe method to survive software failures,0
387,SOSP,2005,Vigilante: End-to-End Containment of Internet Worms,38
406,SOSP,2001,Untrusted hosts and confidentiality: secure program partitioning,71
407,SOSP,2001,BASE: using abstraction to improve fault tolerance,32
409,PLDI,2000,Dynamo: a transparent dynamic optimization system,33
410,SIGMOD,2000,XMill: an efficient compressor for XML data,75
