conference,work_id,cited_by_count,pub_year,type
ICSE,W3209174574,27,2021.0,regular
ICSE,W2963956412,22,2018.0,regular
ICSE,W3008725893,27,2019.0,regular
ICSE,W2963666573,65,2016.0,regular
ICSE,W3212487835,20,2021.0,regular
ICSE,W2996580318,15,2018.0,regular
ICSE,W3186758430,65,2021.0,regular
ICSE,W3213882184,22,2017.0,regular
ICSE,W3209830540,9,2021.0,regular
ICSE,W2963814707,5,2018.0,regular
ICSE,W3165064550,4,2021.0,regular
ICSE,W2963516646,95,2016.0,regular
ICSE,W3181356059,77,2020.0,regular
ICSE,W2965886910,9,2017.0,regular
ICSE,W4296700525,12,2022.0,regular
ICSE,W3211637939,11,2021.0,regular
ICSE,W2996447514,17,2018.0,regular
ICSE,W3203095376,20,2021.0,regular
ICSE,W3199713517,17,2021.0,regular
ICSE,W4226283412,27,2021.0,regular
ICSE,W4287023797,5,2021.0,regular
ICSE,W2963064364,11,2018.0,regular
ICSE,W2963332798,1,2015.0,regular
ICSE,W2962871321,25,2016.0,regular
ICSE,W2942508063,91,2019.0,regular
ICSE,W3186208756,34,2021.0,regular
ICSE,W3205813705,8,2021.0,regular
ICSE,W3140129157,1,2011.0,regular
ICSE,W3215953200,6,2021.0,regular
ICSE,W2963242019,97,2016.0,regular
ICSE,W2963001435,7,2017.0,regular
ICSE,W2963488431,14,2017.0,regular
ICSE,W2964068172,11,2016.0,regular
ICSE,W2962691672,18,2016.0,regular
ICSE,W2964133791,2,2017.0,regular
ICSE,W3206837489,45,2021.0,regular
ICSE,W2963978069,183,2016.0,regular
ICSE,W3215301771,71,2021.0,regular
ICSE,W2963872945,16,2015.0,regular
ICSE,W3197730363,36,2021.0,regular
ICSE,W3197867394,32,2021.0,regular
ICSE,W3210225642,30,2021.0,regular
ICSE,W4293248187,1,2022.0,regular
ICSE,W2964008148,51,2017.0,regular
ICSE,W2987616794,22,2019.0,regular
ICSE,W3010999265,24,2018.0,regular
ICSE,W2967756749,29,2019.0,regular
ICSE,W2963597965,15,2016.0,regular
IJCAI,W2962680951,9,2017.0,regular
IJCAI,W2963568334,21,2015.0,regular
IJCAI,W3209174574,27,2021.0,regular
IJCAI,W2963956412,22,2018.0,regular
IJCAI,W3008725893,27,2019.0,regular
IJCAI,W2963666573,65,2016.0,regular
IJCAI,W3212487835,20,2021.0,regular
IJCAI,W2996580318,15,2018.0,regular
IJCAI,W3186758430,65,2021.0,regular
IJCAI,W3213882184,22,2017.0,regular
IJCAI,W3209830540,9,2021.0,regular
IJCAI,W2963814707,5,2018.0,regular
IJCAI,W3165064550,4,2021.0,regular
IJCAI,W2963516646,95,2016.0,regular
IJCAI,W3181356059,77,2020.0,regular
IJCAI,W2965886910,9,2017.0,regular
IJCAI,W4296700525,12,2022.0,regular
IJCAI,W3211637939,11,2021.0,regular
IJCAI,W2996447514,17,2018.0,regular
IJCAI,W3203095376,20,2021.0,regular
IJCAI,W3199713517,17,2021.0,regular
IJCAI,W4226283412,27,2021.0,regular
IJCAI,W4287023797,5,2021.0,regular
IJCAI,W2985605471,9,2019.0,regular
IJCAI,W2963332798,1,2015.0,regular
IJCAI,W3004047953,1,2018.0,regular
IJCAI,W2942508063,91,2019.0,regular
IJCAI,W3186208756,34,2021.0,regular
IJCAI,W3205813705,8,2021.0,regular
IJCAI,W3140129157,1,2011.0,regular
IJCAI,W3215953200,6,2021.0,regular
IJCAI,W2963242019,97,2016.0,regular
IJCAI,W2963001435,7,2017.0,regular
IJCAI,W2963488431,14,2017.0,regular
IJCAI,W2964068172,11,2016.0,regular
IJCAI,W2962691672,18,2016.0,regular
IJCAI,W2964133791,2,2017.0,regular
IJCAI,W3206837489,45,2021.0,regular
IJCAI,W2963978069,183,2016.0,regular
IJCAI,W3215301771,71,2021.0,regular
IJCAI,W2963872945,16,2015.0,regular
IJCAI,W3197730363,36,2021.0,regular
IJCAI,W3197867394,32,2021.0,regular
IJCAI,W3210225642,30,2021.0,regular
IJCAI,W4293248187,1,2022.0,regular
IJCAI,W2964008148,51,2017.0,regular
IJCAI,W2963295590,19,2018.0,regular
IJCAI,W3010999265,24,2018.0,regular
IJCAI,W2967756749,29,2019.0,regular
IJCAI,W2963597965,15,2016.0,regular
INFOCOM,W3124002864,0,2010.0,regular
INFOCOM,W2596711536,0,2015.0,regular
INFOCOM,W2533381869,0,2015.0,regular
