conference,award_year,work_id,cited_by_count,type
CIKM,2013,https://openalex.org/W2003513631,40,award
CVPR,2013,https://openalex.org/W2337673916,1,award
ICCV,2013,https://openalex.org/W2135166986,103,award
ICML,2013,https://openalex.org/W108223363,26,award
ICSE,2013,https://openalex.org/W4213086105,30,award
ICSE,2013,https://openalex.org/W4239177305,31,award
ICSE,2013,https://openalex.org/W4237335675,119,award
ICSE,2013,https://openalex.org/W4246552097,63,award
ICSE,2013,https://openalex.org/W4255632703,430,award
INFOCOM,2013,https://openalex.org/W1974066983,90,award
MOBICOM,2013,https://openalex.org/W2141336889,1100,award
PLDI,2013,https://openalex.org/W2157216158,67,award
PLDI,2013,https://openalex.org/W2048025009,121,award
PLDI,2013,https://openalex.org/W2063553958,11,award
PODS,2013,https://openalex.org/W2046261894,17,award
SODA,2013,https://openalex.org/W4238411931,85,award
SOSP,2013,https://openalex.org/W1976821017,947,award
UIST,2013,https://openalex.org/W2150549828,333,award
VLDB,2013,https://openalex.org/W2033201131,81,award
WWW,2013,https://openalex.org/W2127411301,348,award
AAAI,2012,https://openalex.org/W2293636571,27,award
AAAI,2012,https://openalex.org/W1512874001,119,award
CHI,2012,https://openalex.org/W2136345490,97,award
CHI,2012,https://openalex.org/W2166132393,63,award
CHI,2012,https://openalex.org/W2047883041,132,award
CHI,2012,https://openalex.org/W1974923332,39,award
FSE,2012,https://openalex.org/W2148787816,118,award
ICML,2012,https://openalex.org/W2161340280,113,award
ICSE,2012,https://openalex.org/W3146113246,70,award
ICSE,2012,https://openalex.org/W3161167621,11,award
ICSE,2012,https://openalex.org/W3142903977,86,award
ICSE,2012,https://openalex.org/W2112351052,165,award
ICSE,2012,https://openalex.org/W3149109633,89,award
INFOCOM,2012,https://openalex.org/W1969844906,156,award
KDD,2012,https://openalex.org/W2099302229,1023,award
MOBICOM,2012,https://openalex.org/W2154346544,66,award
SIGMETRICS,2012,https://openalex.org/W2101221989,196,award
SODA,2012,https://openalex.org/W1995509853,35,award
STOC,2012,https://openalex.org/W1988508518,70,award
UIST,2012,https://openalex.org/W2010127311,56,award
VLDB,2012,https://openalex.org/W2953102514,103,award
WWW,2012,https://openalex.org/W1982139456,120,award
AAAI,2011,https://openalex.org/W57159709,71,award
AAAI,2011,https://openalex.org/W1768003445,30,award
ACL,2011,https://openalex.org/W2142523187,247,award
CHI,2011,https://openalex.org/W2022815033,206,award
CHI,2011,https://openalex.org/W2153391061,71,award
CHI,2011,https://openalex.org/W2105697580,144,award
CHI,2011,https://openalex.org/W2081964782,141,award
CHI,2011,https://openalex.org/W2097331574,44,award
CHI,2011,https://openalex.org/W1986692274,34,award
CIKM,2011,https://openalex.org/W1989813731,55,award
CVPR,2011,https://openalex.org/W2060280062,2047,award
FOCS,2011,https://openalex.org/W2038652993,178,award
FOCS,2011,https://openalex.org/W2136400551,101,award
FSE,2011,https://openalex.org/W2107220315,140,award
ICSE,2011,https://openalex.org/W2111765806,188,award
ICSE,2011,https://openalex.org/W2106860490,96,award
ICSE,2011,https://openalex.org/W2116907335,143,award
ICSE,2011,https://openalex.org/W2792443233,248,award
IJCAI,2011,https://openalex.org/W2148552911,9,award
MOBICOM,2011,https://openalex.org/W2126541908,210,award
PODS,2011,https://openalex.org/W2095609152,24,award
SIGCOMM,2011,https://openalex.org/W1982170863,339,award
SIGIR,2011,https://openalex.org/W2008251177,116,award
SIGMETRICS,2011,https://openalex.org/W2136110891,33,award
SOSP,2011,https://openalex.org/W2097379719,1098,award
SOSP,2011,https://openalex.org/W2080332495,42,award
STOC,2011,https://openalex.org/W2109237987,71,award
VLDB,2011,https://openalex.org/W4230948688,52,award
WWW,2011,https://openalex.org/W2164173709,58,award
AAAI,2010,https://openalex.org/W1538864647,54,award
AAAI,2010,https://openalex.org/W2468755302,5,award
CHI,2010,https://openalex.org/W2124318441,207,award
CHI,2010,https://openalex.org/W2142869276,378,award
CHI,2010,https://openalex.org/W2129146498,102,award
CHI,2010,https://openalex.org/W2140420369,989,award
CHI,2010,https://openalex.org/W2119698661,195,award
CHI,2010,https://openalex.org/W2104113460,747,award
CIKM,2010,https://openalex.org/W1965442176,84,award
CIKM,2010,https://openalex.org/W1982304915,63,award
FSE,2010,https://openalex.org/W2166271660,118,award
ICML,2010,https://openalex.org/W1515884010,2,award
ICSE,2010,https://openalex.org/W2169970157,251,award
ICSE,2010,https://openalex.org/W2127190390,121,award
ICSE,2010,https://openalex.org/W2122987719,183,award
ICSE,2010,https://openalex.org/W2109039735,18,award
ICSE,2010,https://openalex.org/W2118155805,159,award
INFOCOM,2010,https://openalex.org/W2155444758,36,award
KDD,2010,https://openalex.org/W1968532429,185,award
NSDI,2010,https://openalex.org/W2184954724,3,award
OSDI,2010,https://openalex.org/W2145467766,144,award
OSDI,2010,https://openalex.org/W1893312510,247,award
PODS,2010,https://openalex.org/W2103126020,321,award
S&P,2010,https://openalex.org/W1985225657,227,award
SIGCOMM,2010,https://openalex.org/W3138585045,17,award
SIGMETRICS,2010,https://openalex.org/W2152475116,23,award
SIGMOD,2010,https://openalex.org/W2151224499,301,award
SODA,2010,https://openalex.org/W1480355964,67,award
STOC,2010,https://openalex.org/W2912359042,55,award
STOC,2010,https://openalex.org/W1991055327,294,award
UIST,2010,https://openalex.org/W2090048052,568,award
VLDB,2010,https://openalex.org/W3000214033,124,award
WWW,2010,https://openalex.org/W2171279286,2602,award
ACL,2009,https://openalex.org/W2150114207,36,award
ACL,2009,https://openalex.org/W2122223050,254,award
CHI,2009,https://openalex.org/W2114197969,108,award
FSE,2009,https://openalex.org/W2073961002,68,award
FSE,2009,https://openalex.org/W2059215200,288,award
ICCV,2009,https://openalex.org/W2142037471,281,award
ICML,2009,https://openalex.org/W2084809122,211,award
ICSE,2009,https://openalex.org/W2098664130,191,award
INFOCOM,2009,https://openalex.org/W2163609156,131,award
MOBICOM,2009,https://openalex.org/W2135573205,162,award
PODS,2009,https://openalex.org/W2041829641,14,award
S&P,2009,https://openalex.org/W2105842205,145,award
SIGCOMM,2009,https://openalex.org/W2150957281,385,award
SIGMETRICS,2009,https://openalex.org/W2109992755,135,award
SIGMOD,2009,https://openalex.org/W2126354234,57,award
