author_id,award_year,rel_year,pubs,cits
A5103591438,2012,3,5,107
A5103591438,2012,4,9,161
A5103591438,2012,5,3,26
A5029365650,2012,-5,7,147
A5029365650,2012,-4,6,61
A5029365650,2012,-3,3,97
A5029365650,2012,-2,2,151
A5029365650,2012,-1,7,49
A5029365650,2012,0,9,231
A5029365650,2012,1,6,26
A5029365650,2012,2,8,60
A5029365650,2012,3,15,83
A5029365650,2012,4,8,181
A5029365650,2012,5,8,29
A5000327528,2012,-5,14,380
A5000327528,2012,-4,22,1109
A5000327528,2012,-3,17,213
A5000327528,2012,-2,21,815
A5000327528,2012,-1,53,3142
A5000327528,2012,0,44,1118
A5000327528,2012,1,33,963
A5000327528,2012,2,26,702
A5000327528,2012,3,35,605
A5000327528,2012,4,38,807
A5000327528,2012,5,25,410
A5020091080,2012,-5,4,113
A5020091080,2012,-4,4,93
A5020091080,2012,-3,3,5
A5020091080,2012,-2,16,572
A5020091080,2012,-1,19,1146
A5020091080,2012,0,14,495
A5020091080,2012,1,12,115
A5020091080,2012,2,2,91
A5020091080,2012,3,12,235
A5020091080,2012,4,11,165
A5020091080,2012,5,10,135
A5089807699,2012,-5,6,223
A5089807699,2012,-4,33,2177
A5089807699,2012,-3,10,2920
A5089807699,2012,-2,15,732
A5089807699,2012,-1,12,2484
A5089807699,2012,0,18,874
A5089807699,2012,1,14,2080
A5089807699,2012,2,12,588
A5089807699,2012,3,6,238
A5089807699,2012,4,11,346
A5089807699,2012,5,15,453
A5023571961,2012,-5,18,1187
A5023571961,2012,-4,14,435
A5023571961,2012,-3,8,487
A5023571961,2012,-2,17,659
A5023571961,2012,-1,7,126
A5023571961,2012,0,15,456
A5023571961,2012,1,12,306
A5023571961,2012,2,17,286
A5023571961,2012,3,16,422
A5023571961,2012,4,19,183
A5023571961,2012,5,23,872
A5041023938,2012,-5,5,56
A5041023938,2012,-4,9,71
A5041023938,2012,-3,7,38
A5041023938,2012,-2,3,104
A5041023938,2012,-1,5,176
A5041023938,2012,0,10,128
A5041023938,2012,1,7,44
A5041023938,2012,2,5,26
A5041023938,2012,3,3,25
A5041023938,2012,4,4,43
A5041023938,2012,5,7,92
A5111375410,2012,-5,2,0
A5111375410,2012,-4,1,0
A5111375410,2012,-3,2,0
A5111375410,2012,-2,1,0
A5111375410,2012,-1,3,30
A5111375410,2012,0,1,53
A5111375410,2012,1,4,45
A5111375410,2012,2,2,31
A5111375410,2012,3,3,44
A5111375410,2012,4,6,27
A5111375410,2012,5,0,0
A5018423252,2012,-5,0,0
A5018423252,2012,-4,0,0
A5018423252,2012,-3,0,0
A5018423252,2012,-2,0,0
A5018423252,2012,-1,0,0
A5018423252,2012,0,1,53
A5018423252,2012,1,1,23
A5018423252,2012,2,0,0
A5018423252,2012,3,0,0
A5018423252,2012,4,0,0
A5018423252,2012,5,0,0
A5036247394,2012,-5,0,0
A5036247394,2012,-4,0,0
A5036247394,2012,-3,0,0
A5036247394,2012,-2,2,9
A5036247394,2012,-1,1,1
A5036247394,2012,0,5,75
A5036247394,2012,1,2,25
A5036247394,2012,2,0,0
