author_id,award_year,pre_pubs,post_pubs,pre_cits,post_cits,pub_lift,cit_lift,conference,author_position,group
A5012081424,2007,10.0,6.2,743.4,99.2,-3.8,-644.1999999999999,CVPR,middle,nonaward
A5012132706,2017,8.0,9.8,241.0,930.2,1.8000000000000007,689.2,SIGIR,last,nonaward
A5012663906,2005,0.0,0.2,0.0,24.0,0.2,24.0,SOSP,middle,nonaward
A5012738373,2015,2.6,1.8,563.0,38.4,-0.8,-524.6,SOSP,first,nonaward
A5012998255,2003,0.8,0.8,15.6,4765.6,0.0,4750.0,SOSP,first,nonaward
A5012998255,2009,0.8,0.8,4765.6,366.4,0.0,-4399.200000000001,S&P,last,nonaward
A5012998255,2016,0.6,0.8,366.0,11.4,0.20000000000000007,-354.6,OSDI,middle,nonaward
A5013065278,2009,0.4,6.8,9.2,98.4,6.3999999999999995,89.2,S&P,middle,nonaward
A5013099735,2014,2.8,1.8,53.4,95.2,-0.9999999999999998,41.800000000000004,SODA,middle,nonaward
A5013135203,2008,0.2,2.4,0.0,71.0,2.1999999999999997,71.0,AAAI,last,nonaward
A5013221837,2018,40.8,42.8,5212.0,3053.4,2.0,-2158.6,SODA,middle,nonaward
A5013224421,2009,10.0,13.0,474.2,335.4,3.0,-138.8,CHI,first,nonaward
A5013240918,2016,6.0,26.0,654.2,11055.0,20.0,10400.8,ICSE,first,nonaward
A5013275024,2011,15.8,49.0,1687.4,5173.2,33.2,3485.7999999999997,IJCAI,middle,nonaward
A5013288056,2017,8.8,10.6,348.2,209.2,1.799999999999999,-139.0,ICCV,middle,nonaward
A5013288056,2017,8.8,10.6,348.2,209.2,1.799999999999999,-139.0,S&P,middle,nonaward
A5013458478,2017,28.2,39.4,952.2,786.4,11.2,-165.80000000000007,ICCV,middle,nonaward
A5013458478,2017,28.2,39.4,952.2,786.4,11.2,-165.80000000000007,S&P,middle,nonaward
A5013545831,2010,32.0,41.6,635.2,683.8,9.600000000000001,48.59999999999991,CIKM,middle,nonaward
A5013582936,2013,20.8,32.6,10948.4,8094.6,11.8,-2853.7999999999993,UIST,last,nonaward
A5013633154,2011,6.4,9.2,82.4,867.6,2.799999999999999,785.2,ICSE,middle,nonaward
A5013698877,2012,27.2,9.6,646.6,83.8,-17.6,-562.8000000000001,SODA,middle,nonaward
A5013843778,2016,8.4,16.4,296.0,651.2,7.999999999999998,355.20000000000005,ICSE,middle,nonaward
A5013978216,2015,2.0,0.4,272.2,8.8,-1.6,-263.4,SOSP,middle,nonaward
A5014046469,2018,17.8,7.8,2379.4,374.4,-10.0,-2005.0,SODA,middle,nonaward
A5014063704,2011,1.8,1.6,179.0,236.2,-0.19999999999999996,57.19999999999999,IJCAI,middle,nonaward
A5014141359,2013,17.8,17.6,1384.0,644.6,-0.1999999999999993,-739.4,VLDB,middle,nonaward
A5014206487,2005,0.2,3.0,0.4,98.4,2.8,98.0,SOSP,first,nonaward
A5014318204,2009,0.4,0.0,136.8,0.0,-0.4,-136.8,VLDB,last,nonaward
A5014322699,2018,0.0,4.4,0.0,146.6,4.4,146.6,AAAI,first,nonaward
A5014405928,2016,0.2,3.2,6.0,340.6,3.0,334.6,OSDI,middle,nonaward
A5014605519,2018,4.4,0.2,74.2,2.0,-4.2,-72.2,MOBICOM,first,nonaward
A5014824446,2008,12.2,10.2,1253.2,642.8,-2.0,-610.4000000000001,S&P,middle,nonaward
