paper_openalex_id,paper_title,conference,award_year,author_id,author_name,author_position
https://openalex.org/W2796034586,Design Within a Patriarchal Society: Opportunities and Challenges in Designing for Rural Women in Bangladesh,CHI,2018,https://openalex.org/A5103026409,Sharifa Sultana,first
https://openalex.org/W2796034586,Design Within a Patriarchal Society: Opportunities and Challenges in Designing for Rural Women in Bangladesh,CHI,2018,https://openalex.org/A5037702709,François Guimbretière,middle
https://openalex.org/W2796034586,Design Within a Patriarchal Society: Opportunities and Challenges in Designing for Rural Women in Bangladesh,CHI,2018,https://openalex.org/A5059066123,Phoebe Sengers,middle
https://openalex.org/W2796034586,Design Within a Patriarchal Society: Opportunities and Challenges in Designing for Rural Women in Bangladesh,CHI,2018,https://openalex.org/A5057564242,Nicola Dell,last
https://openalex.org/W2795953912,Hoarding and Minimalism: Tendencies in Digital Data Preservation,CHI,2018,https://openalex.org/A5043350857,Francesco Vitale,first
https://openalex.org/W2795953912,Hoarding and Minimalism: Tendencies in Digital Data Preservation,CHI,2018,https://openalex.org/A5091174431,Izabelle Janzen,middle
https://openalex.org/W2795953912,Hoarding and Minimalism: Tendencies in Digital Data Preservation,CHI,2018,https://openalex.org/A5016459516,Joanna McGrenere,last
https://openalex.org/W2796058046,Extending Manual Drawing Practices with Artist-Centric Programming Tools,CHI,2018,https://openalex.org/A5058644728,Jennifer Jacobs,first
https://openalex.org/W2796058046,Extending Manual Drawing Practices with Artist-Centric Programming Tools,CHI,2018,https://openalex.org/A5023292508,Joel Brandt,middle
https://openalex.org/W2796058046,Extending Manual Drawing Practices with Artist-Centric Programming Tools,CHI,2018,https://openalex.org/A5060956547,Radomír Měch,middle
https://openalex.org/W2796058046,Extending Manual Drawing Practices with Artist-Centric Programming Tools,CHI,2018,https://openalex.org/A5111684967,Mitchel Resnick,last
https://openalex.org/W2897496397,Relevance estimation with multiple information sources on search engine result pages,CIKM,2018,https://openalex.org/A5100648252,Junqi Zhang,first
https://openalex.org/W2897496397,Relevance estimation with multiple information sources on search engine result pages,CIKM,2018,https://openalex.org/A5100668121,Yiqun Liu,middle
https://openalex.org/W2897496397,Relevance estimation with multiple information sources on search engine result pages,CIKM,2018,https://openalex.org/A5100760812,Shaoping Ma,middle
https://openalex.org/W2897496397,Relevance estimation with multiple information sources on search engine result pages,CIKM,2018,https://openalex.org/A5111504451,Qi Tian,last
https://openalex.org/W2798512429,Taskonomy: Disentangling Task Transfer Learning,CVPR,2018,https://openalex.org/A5023178110,Amir Zamir,first
https://openalex.org/W2798512429,Taskonomy: Disentangling Task Transfer Learning,CVPR,2018,https://openalex.org/A5007556540,Alexander F. Sax,middle
https://openalex.org/W2798512429,Taskonomy: Disentangling Task Transfer Learning,CVPR,2018,https://openalex.org/A5112905724,William Shen,middle
https://openalex.org/W2798512429,Taskonomy: Disentangling Task Transfer Learning,CVPR,2018,https://openalex.org/A5065368881,Leonidas Guibas,middle
https://openalex.org/W2798512429,Taskonomy: Disentangling Task Transfer Learning,CVPR,2018,https://openalex.org/A5001594573,Jitendra Malik,middle
