author_id,display_name,works_count,cited_by_count,h_index,i10_index,first_pub_year_countsbyyear
https://openalex.org/A5101595466,José Campos,51,1589,17,25,2005
https://openalex.org/A5102016759,Wontae Choi,42,772,11,12,1989
https://openalex.org/A5039301553,Liang Gong,40,1361,15,20,2011
https://openalex.org/A5073279261,Stephany Bellomo,36,520,9,7,1998
https://openalex.org/A5019276791,Kateryna Tymoshenko,26,444,12,15,2010
https://openalex.org/A5075212016,Jonathan Dorn,22,453,9,7,2001
https://openalex.org/A5100327544,Xin Zhang,18,198,5,4,1995
https://openalex.org/A5090520110,Farnaz Behrang,17,341,9,9,2011
https://openalex.org/A5052633187,Ermira Daka,14,377,4,4,2009
https://openalex.org/A5111628551,Richard A. Newcombe,14,9349,11,11,2008
https://openalex.org/A5001563585,Reza Matinnejad,12,404,10,10,2011
https://openalex.org/A5054834949,Thomas Bruckmann,8,368,8,8,2013
https://openalex.org/A5016486642,Carlos Eduardo Bernal Cárdenas,1,83,1,1,2015
https://openalex.org/A5074563122,Mani Srivastava,777,46139,98,368,1991
https://openalex.org/A5078518595,R. Srikant,524,25091,79,267,1990
https://openalex.org/A5075598023,Vahab Mirrokni,511,13609,54,195,2000
https://openalex.org/A5079088548,Andrea De Lucia,497,17156,71,253,1967
https://openalex.org/A5033738898,Fabio Palomba,456,10222,57,149,1993
https://openalex.org/A5054951840,Sven Apel,429,14020,61,197,2001
https://openalex.org/A5013695358,Barnabás Póczos,320,11001,55,157,2002
https://openalex.org/A5018711331,Pedro Domingos,297,41030,83,169,1994
https://openalex.org/A5055199976,Jeff Schneider,294,8734,49,125,1990
https://openalex.org/A5101772779,Ravi Kumar,278,12911,56,120,1994
https://openalex.org/A5084108666,Robert E. Schapire,248,108281,73,166,1987
https://openalex.org/A5061448314,Shan Lu,221,8791,45,120,2004
https://openalex.org/A5101697549,Andrew C. Myers,212,11113,49,103,1993
https://openalex.org/A5031710345,Thomas Schwentick,210,4638,37,86,1991
https://openalex.org/A5022264843,Frank Neven,189,3810,34,74,1997
https://openalex.org/A5036435487,Alekh Agarwal,186,5751,41,94,1990
https://openalex.org/A5012034611,Alon Orlitsky,179,4167,34,80,1984
https://openalex.org/A5101853728,Daniel Jackson,169,4632,34,91,1982
https://openalex.org/A5004072538,Norbert Siegmund,168,3940,32,66,2007
https://openalex.org/A5022550622,Silvio Lattanzi,154,3109,24,46,2008
https://openalex.org/A5103890688,Ananda Theertha Suresh,141,7438,29,47,2010
https://openalex.org/A5017741738,Vasilis Syrgkanis,137,1804,25,41,2009
https://openalex.org/A5111597728,George Allan,124,1214,14,18,1967
https://openalex.org/A5066046345,John Regehr,119,4852,38,66,1970
https://openalex.org/A5029108294,Dimitrios Vytiniotis,112,2855,25,43,2004
https://openalex.org/A5042187082,Zachary Tatlock,110,2578,27,46,2008
https://openalex.org/A5108652072,Pierre N. Robillard,109,2264,26,39,1899
https://openalex.org/A5100722775,Danfeng Zhang,108,1737,21,31,2001
https://openalex.org/A5078401676,Flavio Chierichetti,102,2204,24,43,2007
https://openalex.org/A5091197122,Lucas Wanner,90,497,12,19,2006
https://openalex.org/A5020154435,Michele Tufano,82,4271,26,39,1998
https://openalex.org/A5022031348,Pavel Panchekha,78,1068,15,17,2013
https://openalex.org/A5050433159,Kirthevasan Kandasamy,78,1861,20,30,2012
https://openalex.org/A5037972828,Alessandro Epasto,73,1220,18,20,2009
https://openalex.org/A5061707651,Joseph P. Near,69,771,16,23,2002
https://openalex.org/A5028459977,Bas Ketsman,52,180,8,6,2013
https://openalex.org/A5101839396,James R. Wilcox,52,1599,18,21,1968
https://openalex.org/A5038820344,Salma Elmalaki,47,241,9,9,2013
https://openalex.org/A5088560717,Nuno P. Lopes,47,1324,18,23,1989
https://openalex.org/A5054441849,Po-Chun Chang,30,629,11,12,1970
https://openalex.org/A5045181694,Xiaohan Kang,29,356,8,8,2010
https://openalex.org/A5008206932,Tom J. Ameloot,26,180,9,8,2011
https://openalex.org/A5056435209,Mathieu Lavallée,25,195,7,5,1996
https://openalex.org/A5077191191,Abram L. Friesen,23,317,9,9,2010
https://openalex.org/A5081423958,Simon Peyton-Jones,23,1459,12,13,1987
https://openalex.org/A5088457102,Alex Sanchez-Stern,18,388,8,6,2015
https://openalex.org/A5058284960,Cosmin Radoi,17,411,9,9,2009
https://openalex.org/A5003663516,Adrian Nistor,15,655,10,10,2009
https://openalex.org/A5061584053,Gaetano Geck,14,49,5,2,2013
https://openalex.org/A5021806319,Michael Waterman,10,161,7,7,2012
https://openalex.org/A5003914268,Jennifer Rexford,466,45201,100,317,1990
https://openalex.org/A5024343435,Hans Gellersen,379,14550,63,206,1993
https://openalex.org/A5073661463,Andreas Bulling,352,15027,62,168,1952
https://openalex.org/A5053980484,Pramod Viswanath,342,28619,50,133,1996
https://openalex.org/A5028243041,Sewoong Oh,311,7335,37,95,2001
https://openalex.org/A5034680150,Wendy E. Mackay,311,10191,53,150,1986
https://openalex.org/A5035605298,Raffaele Perego,308,4588,34,102,1991
https://openalex.org/A5078471429,A. Pironti,265,3838,31,89,1981
https://openalex.org/A5066317336,Salvatore Orlando,254,3840,33,90,1985
https://openalex.org/A5109968020,M. Frans Kaashoek,239,36165,70,164,1989
https://openalex.org/A5082554104,Franco Maria Nardini,195,1776,22,46,1975
https://openalex.org/A5030358452,Claudio Lucchese,192,3345,30,77,2003
https://openalex.org/A5018894843,Nicola Tonellotto,190,2365,25,60,2004
https://openalex.org/A5087672786,Eduardo Velloso,189,4540,33,89,2010
https://openalex.org/A5108519702,Cédric Fournet,177,11374,57,121,1996
https://openalex.org/A5070110259,Laurent Vanbever,173,4085,31,76,2008
https://openalex.org/A5082774652,Markulf Kohlweiss,165,6196,41,82,2004
https://openalex.org/A5064699160,Peter Kairouz,148,7975,28,52,2012
https://openalex.org/A5084138015,Rossano Venturini,141,1672,22,40,1970
https://openalex.org/A5036529548,Rodrigo Fonseca,138,7079,39,74,1987
https://openalex.org/A5078100439,Adam Chlipala,137,3225,29,61,2004
https://openalex.org/A5101701586,Prasad Raghavendra,135,2883,29,60,2006
https://openalex.org/A5082808262,Nickolai Zeldovich,130,10323,49,88,2002
https://openalex.org/A5089128021,David Steurer,129,3469,29,57,2006
https://openalex.org/A5076026636,Giulia Fanti,127,1869,25,41,2003
https://openalex.org/A5033447950,Pierre-Yves Strub,120,3119,29,49,2001
https://openalex.org/A5013053155,Zeev Dvir,114,1372,19,29,1983
https://openalex.org/A5028879014,James R. Lee,110,2901,25,47,2002
https://openalex.org/A5063269254,Clemens Nylandsted Klokmose,102,2010,22,47,2006
https://openalex.org/A5015893090,Augusto Esteves,86,1310,19,27,2010
https://openalex.org/A5050321930,Klaus Hildebrandt,86,2045,21,33,1969
https://openalex.org/A5038687630,Sivakanth Gopi,83,605,12,16,2012
https://openalex.org/A5009296594,Stefano Vissicchio,65,2018,24,46,2009
https://openalex.org/A5050781652,Gillat Kol,65,648,10,11,2008
https://openalex.org/A5033897343,Daniel Ziegler,61,863,12,18,1970
https://openalex.org/A5034670941,James Eagan,57,2265,20,27,2000
https://openalex.org/A5112054753,Antoine Delignat-Lavaud,50,2041,20,29,2009
https://openalex.org/A5068471095,Junhao Gan,44,724,9,9,2012
https://openalex.org/A5101847362,Bingkai Lin,38,202,8,7,2002
https://openalex.org/A5011277895,Jonathan Mace,36,873,16,17,2010
https://openalex.org/A5010436566,Tej Chajed,25,556,11,12,2013
https://openalex.org/A5058504215,Simon Olberding,25,578,10,10,2010
https://openalex.org/A5054417711,Haogang Chen,24,1059,11,14,2007
https://openalex.org/A5042649150,Benjamin Beurdouche,22,698,9,9,2014
https://openalex.org/A5021833322,Anat Ganor,17,126,5,3,2010
https://openalex.org/A5065703902,Olivier Tilmans,13,284,7,6,2014
https://openalex.org/A5000876822,Jean Karim Zinzindohoué,9,354,4,4,2015
https://openalex.org/A5003124561,Ryan Roelke,4,266,4,3,2015
https://openalex.org/A5089708930,Siemen Baader,3,146,2,2,2015
https://openalex.org/A5057575769,Sergio Soto Ortega,1,139,1,1,2015
https://openalex.org/A5100740268,Li Fei,512,4582,32,76,1986
https://openalex.org/A5108208924,Judea Pearl,488,80330,93,291,1971
https://openalex.org/A5054225034,Andreas Hotho,403,12300,49,139,2000
https://openalex.org/A5089653752,Richard Schwartz,344,17604,60,200,1962
https://openalex.org/A5071422618,Markus Strohmaier,343,6177,36,115,2002
https://openalex.org/A5026050123,Peter J. Richerson,338,36889,76,191,1967
https://openalex.org/A5025000908,Otmar Hilliges,313,16744,56,152,2003
