author_id,treatment,rel_year,works,citations
https://openalex.org/A5002208932,0,-2,8,156
https://openalex.org/A5002208932,0,-1,10,459
https://openalex.org/A5002208932,0,0,13,588
https://openalex.org/A5002208932,0,1,14,294
https://openalex.org/A5002208932,0,2,13,676
https://openalex.org/A5002208932,0,3,14,277
https://openalex.org/A5002208932,0,4,12,344
https://openalex.org/A5002208932,0,5,19,174
https://openalex.org/A5002226991,1,-2,1,114
https://openalex.org/A5002226991,1,0,2,40
https://openalex.org/A5002290345,1,0,3,101
https://openalex.org/A5002290345,1,1,1,6
https://openalex.org/A5002360773,0,-5,2,3
https://openalex.org/A5002360773,0,-4,8,746
https://openalex.org/A5002360773,0,-3,5,105
https://openalex.org/A5002360773,0,-2,12,860
https://openalex.org/A5002360773,0,-1,18,241
https://openalex.org/A5002360773,0,0,11,196
https://openalex.org/A5002360773,0,1,7,190
https://openalex.org/A5002360773,0,2,11,83
https://openalex.org/A5002360773,0,3,8,39
https://openalex.org/A5002360773,0,4,6,33
https://openalex.org/A5002360773,0,5,3,0
https://openalex.org/A5002372704,0,-5,10,1358
https://openalex.org/A5002372704,0,-4,4,653
https://openalex.org/A5002372704,0,-3,12,1241
https://openalex.org/A5002372704,0,-2,8,2277
https://openalex.org/A5002372704,0,-1,8,2000
https://openalex.org/A5002372704,0,0,11,4189
https://openalex.org/A5002372704,0,1,23,2010
https://openalex.org/A5002372704,0,2,13,2210
https://openalex.org/A5002372704,0,3,8,1093
https://openalex.org/A5002372704,0,4,11,376
https://openalex.org/A5002372704,0,5,12,2343
https://openalex.org/A5002413906,0,-5,10,61
https://openalex.org/A5002413906,0,-4,5,322
https://openalex.org/A5002413906,0,-3,12,60
https://openalex.org/A5002413906,0,-2,8,231
https://openalex.org/A5002413906,0,-1,15,532
https://openalex.org/A5002413906,0,0,14,770
https://openalex.org/A5002413906,0,1,14,1401
https://openalex.org/A5002413906,0,2,16,375
https://openalex.org/A5002413906,0,3,22,217
https://openalex.org/A5002413906,0,4,20,320
https://openalex.org/A5002413906,0,5,27,912
https://openalex.org/A5002419188,0,-5,10,714
https://openalex.org/A5002419188,0,-4,6,38
https://openalex.org/A5002419188,0,-3,10,283
https://openalex.org/A5002419188,0,-2,23,2206
https://openalex.org/A5002419188,0,-1,16,1342
https://openalex.org/A5002419188,0,0,8,1915
https://openalex.org/A5002419188,0,1,20,2103
https://openalex.org/A5002419188,0,2,7,561
https://openalex.org/A5002419188,0,3,7,84
https://openalex.org/A5002419188,0,4,7,284
https://openalex.org/A5002419188,0,5,2,52
https://openalex.org/A5002431770,0,-5,3,57
https://openalex.org/A5002431770,0,-4,3,65
https://openalex.org/A5002431770,0,-3,5,57
https://openalex.org/A5002431770,0,-2,5,81
https://openalex.org/A5002431770,0,-1,6,69
https://openalex.org/A5002431770,0,0,11,11488
https://openalex.org/A5002431770,0,1,7,119
https://openalex.org/A5002431770,0,2,9,4068
https://openalex.org/A5002431770,0,3,14,82
https://openalex.org/A5002431770,0,4,12,115
https://openalex.org/A5002431770,0,5,11,148
https://openalex.org/A5002433369,0,-5,7,346
https://openalex.org/A5002433369,0,-4,12,234
https://openalex.org/A5002433369,0,-3,7,146
https://openalex.org/A5002433369,0,-2,2,18
https://openalex.org/A5002433369,0,-1,2,50
https://openalex.org/A5002433369,0,0,6,2076
https://openalex.org/A5002433369,0,2,2,3457
https://openalex.org/A5002512849,0,-5,12,207
https://openalex.org/A5002512849,0,-4,23,638
https://openalex.org/A5002512849,0,-3,10,284
https://openalex.org/A5002512849,0,-2,17,292
https://openalex.org/A5002512849,0,-1,15,232
https://openalex.org/A5002512849,0,0,15,395
https://openalex.org/A5002512849,0,1,14,255
https://openalex.org/A5002512849,0,2,10,141
https://openalex.org/A5002512849,0,3,11,359
https://openalex.org/A5002512849,0,4,8,65
https://openalex.org/A5002512849,0,5,8,272
https://openalex.org/A5002546424,0,-2,2,5
https://openalex.org/A5002546424,0,-1,3,2410
https://openalex.org/A5002546424,0,0,4,352
https://openalex.org/A5002546424,0,1,2,267
https://openalex.org/A5002546424,0,2,3,62
https://openalex.org/A5002546424,0,3,3,165
https://openalex.org/A5002546424,0,4,1,22
https://openalex.org/A5002546424,0,5,5,273
https://openalex.org/A5002590915,0,-5,4,240
https://openalex.org/A5002590915,0,-4,4,410
https://openalex.org/A5002590915,0,-3,2,52
https://openalex.org/A5002590915,0,-2,7,856
https://openalex.org/A5002590915,0,-1,7,112
https://openalex.org/A5002590915,0,0,7,193
https://openalex.org/A5002590915,0,1,8,417
https://openalex.org/A5002590915,0,2,6,292
https://openalex.org/A5002590915,0,3,8,343
https://openalex.org/A5002590915,0,4,7,311
https://openalex.org/A5002590915,0,5,4,120
https://openalex.org/A5002597222,0,-5,16,617
https://openalex.org/A5002597222,0,-4,29,157
https://openalex.org/A5002597222,0,-3,23,300
https://openalex.org/A5002597222,0,-2,14,175
https://openalex.org/A5002597222,0,-1,17,450
https://openalex.org/A5002597222,0,0,25,429
https://openalex.org/A5002597222,0,1,12,482
https://openalex.org/A5002597222,0,2,16,380
https://openalex.org/A5002597222,0,3,18,303
https://openalex.org/A5002597222,0,4,8,83
https://openalex.org/A5002597222,0,5,12,434
https://openalex.org/A5002599291,0,-5,4,145
https://openalex.org/A5002599291,0,-4,2,43
https://openalex.org/A5002599291,0,-3,17,95
https://openalex.org/A5002599291,0,-2,17,102
https://openalex.org/A5002599291,0,-1,22,153
https://openalex.org/A5002599291,0,0,9,370
https://openalex.org/A5002599291,0,1,13,426
https://openalex.org/A5002599291,0,2,2,18
https://openalex.org/A5002599291,0,3,3,26
https://openalex.org/A5002599291,0,4,4,17
https://openalex.org/A5002599291,0,5,4,183
https://openalex.org/A5002616622,1,-4,1,5
https://openalex.org/A5002616622,1,-1,6,189
https://openalex.org/A5002616622,1,0,1,169
https://openalex.org/A5002616622,1,1,6,382
https://openalex.org/A5002616622,1,2,2,71
https://openalex.org/A5002696075,1,-1,2,59
https://openalex.org/A5002696075,1,0,4,159
https://openalex.org/A5002696075,1,2,3,57
https://openalex.org/A5002696075,1,3,6,454
https://openalex.org/A5002696075,1,4,5,143
