paper_id,paper_year,cd5,ni,nj
W3018822997,2018,-1.0,0,1
W4295124790,2022,1.0,1,0
W2963461515,2017,-0.2,20,30
W2784669118,2018,-0.24,19,31
W2962992787,2019,-0.48,13,37
W3161799213,2021,-0.52,12,38
W3133963303,2021,-0.4,15,35
W3197536693,2021,-0.84,4,46
W4306771920,2022,-0.56,11,39
W3090910431,2020,-0.4,15,35
W3200506265,2021,-0.48,13,37
W3122252170,2020,-0.4,15,35
W3168587836,2021,-0.23404255319148937,18,29
W3046919285,2020,-0.7446808510638298,6,41
W2964240723,2019,-0.2,16,24
W4312458120,2022,-0.6842105263157895,6,32
W4389159189,2023,-0.2413793103448276,11,18
W4313563521,2022,-0.6666666666666666,5,25
W2899424311,2018,0.08,27,23
W2989724224,2019,-0.40425531914893614,14,33
W3014394502,2020,-0.44680851063829785,13,34
W2933448476,2019,-0.5555555555555556,8,28
W4225594804,2022,-0.4074074074074074,8,19
W4281951480,2022,1.0,23,0
W4313563659,2022,-0.18181818181818182,9,13
W2532345058,2016,-0.8888888888888888,1,17
W4224437660,2022,-0.3333333333333333,6,12
W4389158375,2023,-0.5,4,12
W4388483029,2023,-0.5714285714285714,3,11
W2932089240,2019,-0.6842105263157895,3,16
W4283169945,2022,-0.14285714285714285,3,4
W4206542480,2021,-0.5,1,3
W4211026630,2021,-0.3333333333333333,1,2
W4384026689,2023,-1.0,0,3
W4212855174,2021,-1.0,0,3
W4290652245,2022,1.0,3,0
W2598353968,2016,1.0,2,0
W2799665171,2018,-0.875,1,15
W3187496290,2021,-0.7142857142857143,2,12
W3005003168,2018,-0.25,3,5
W2762072470,2017,-0.3333333333333333,2,4
W3019109115,2020,-1.0,0,8
W2913329778,2019,-1.0,0,7
W3130237582,2021,-0.14285714285714285,3,4
W3017321024,2020,-0.3333333333333333,2,4
W2911482613,2019,0.5,3,1
W2626738193,2017,1.0,2,0
W2995229924,2019,0.2,3,2
W4386081214,2023,1.0,1,0
W2509033610,2016,-0.76,6,44
W3120547716,2020,0.0,3,3
W2586838877,2017,-0.6216216216216216,7,30
W2904836609,2018,-0.7777777777777778,1,8
W2499439150,2016,-0.6,2,8
W4312287124,2022,-0.2,4,6
W2772272758,2017,0.2,3,2
W2739503917,2017,1.0,1,0
W3140733874,2021,1.0,1,0
W2740981432,2017,-0.76,6,44
W2357064193,2016,-0.92,2,48
W3027212681,2020,-0.6,10,40
W2794694213,2018,-0.5789473684210527,8,30
W2517910349,2016,-0.7419354838709677,4,27
W2347059126,2016,-0.04,12,13
W2792918773,2018,0.2413793103448276,18,11
W2896744621,2018,-1.0,0,28
W3006458758,2019,-1.0,0,27
W3089663604,2020,-0.9310344827586207,1,28
W2620798004,2017,0.5,9,3
W2726007014,2017,-0.6470588235294118,3,14
W2955384256,2019,-1.0,0,19
W3085581200,2020,-0.5555555555555556,4,14
W3114280329,2020,-0.7777777777777778,2,16
W2726134631,2017,-1.0,0,10
W3115607952,2020,-0.8181818181818182,1,10
W2755137195,2017,-0.8,1,9
W2604394867,2017,-0.5,2,6
W2752460260,2017,-0.7777777777777778,1,8
W2398790319,2016,-1.0,0,3
W2972498997,2019,-1.0,0,6
W4384009783,2023,-0.5,1,3
W2946418671,2019,-1.0,0,4
W4297857312,2022,-1.0,0,3
W2908992016,2018,1.0,1,0
W3209840356,2013,,0,0
W3204782874,2021,-1.0,0,1
W2950831530,2016,1.0,1,0
W2888230423,2018,-0.5882352941176471,7,27
W2795338679,2018,-0.72,7,43
W2953828322,2019,0.0,14,14
W2884017574,2018,-0.5,5,15
W2954990002,2019,0.3103448275862069,19,10
W2464743189,2016,-0.09090909090909091,5,6
W4220845069,2022,-1.0,0,13
W2955802906,2019,-0.4666666666666667,4,11
W2200312682,2014,0.0,3,3
W3090756599,2020,-0.6666666666666666,1,5
W3090097128,2020,0.0,3,3
W4283078203,2022,-0.5,1,3
W2953562964,2019,-0.5,2,6
W2805697672,2018,-1.0,0,1
W4312404044,2022,0.0,2,2
W2417132441,2016,-0.5862068965517241,6,23
W2794901250,2018,-0.2,10,15
W2337779325,2015,-1.0,0,3
W2537680118,2016,-0.8947368421052632,1,18
W4244168173,2016,-0.3333333333333333,1,2
W2243056059,2015,1.0,2,0
W2493296585,2016,-0.7142857142857143,2,12
W2940950649,2018,1.0,2,0
W3024847434,2016,-1.0,0,4
W2964064835,2018,-1.0,0,50
W2884826257,2018,-1.0,0,34
W2795266985,2018,1.0,23,0
W3014361383,2020,-0.42857142857142855,2,5
W2760307268,2017,-1.0,0,16
W2946354830,2019,-1.0,0,17
W2962477312,2019,-0.3333333333333333,3,6
W3092218659,2020,-0.2,4,6
W3014215454,2020,-0.3333333333333333,2,4
W2594719925,2017,-0.42857142857142855,2,5
W2921692956,2019,-1.0,0,3
W2808817941,2018,-0.6,1,4
W2897817177,2018,-1.0,0,4
W2889237471,2018,1.0,1,0
W4398472015,2018,1.0,1,0
W3134008646,2020,1.0,1,0
W4398657618,2019,1.0,1,0
W4398302477,2018,1.0,1,0
W2588627057,2017,0.16,29,21
W1974088888,2015,-1.0,0,3
W2340897893,2016,-0.76,6,44
W7133238715,2023,1.0,5,0
W4300596326,2018,1.0,14,0
W2800007566,2018,1.0,18,0
W2904170485,2019,-0.8888888888888888,1,17
W2173346248,2016,-0.8,1,9
W4382239758,2023,1.0,1,0
W4390355923,2023,-1.0,0,1
W4283801895,2022,,0,0
W3126149020,2021,-1.0,0,2
W2582911330,2015,1.0,1,0
W2947170863,2019,-1.0,0,10
W2971333304,2019,1.0,5,0
W2951072361,2019,-1.0,0,3
W4288346340,2019,1.0,3,0
W3008006987,2020,-0.5,1,3
W4321855099,2023,1.0,3,0
W2981822405,2019,-1.0,0,2
W3099355638,2020,1.0,2,0
W4379958483,2023,1.0,1,0
W2604795503,2017,-0.2,20,30
W1748749724,2021,-0.14285714285714285,9,12
W4367395273,2023,-0.07692307692307693,18,21
W2756654724,2017,-0.6585365853658537,7,34
W2808551187,2018,-0.96,1,49
W2981274387,2019,-0.7142857142857143,4,24
W2790903485,2018,-0.7857142857142857,3,25
W2942315111,2021,-0.6,10,40
W2741373390,2017,-0.5454545454545454,5,17
W3037646323,2020,1.0,17,0
W2745165948,2017,-0.6,3,12
W4362472738,2023,-0.5384615384615384,3,10
W4294831693,2022,0.42857142857142855,5,2
W3159964116,2021,1.0,3,0
W2787080188,2019,-0.8461538461538461,1,12
W3105289605,2021,-0.3333333333333333,5,10
W2767055464,2018,-1.0,0,13
W3095892537,2020,0.38461538461538464,9,4
W2895892112,2018,0.09090909090909091,6,5
W2535023119,2017,-1.0,0,7
W3204433194,2022,-0.75,1,7
W2945369501,2019,0.14285714285714285,4,3
W3119238880,2021,0.6666666666666666,5,1
W4206280395,2022,0.0,2,2
W3119219073,2021,0.2,3,2
W2573073543,2015,1.0,2,0
W2968913877,2020,0.0,1,1
W2897225817,2018,-0.6,1,4
W2902579350,2018,0.0,1,1
W3085221198,2020,1.0,2,0
W2960216239,2020,-1.0,0,2
W2805455759,2018,-0.36,8,17
W2998729773,2020,-1.0,0,5
W3006736514,2020,-1.0,0,4
W4303650098,2022,-0.5,1,3
W4385681602,2023,1.0,3,0
W4380362583,2023,1.0,4,0
W2887443145,2018,0.0,1,1
W4306639115,2022,-1.0,0,1
W4285388796,2022,0.0,1,1
W2962704246,2018,-0.36,16,34
W2740431674,2017,-0.125,7,9
W1929396203,2015,1.0,7,0
W2760577196,2017,-0.8,3,27
W2798763787,2018,-0.5714285714285714,3,11
W2896825822,2018,1.0,7,0
W2946022203,2019,-1.0,0,6
W3034062213,2020,0.0,1,1
W2792261072,2018,-0.32,17,33
W3017072639,2020,0.04,26,24
W2987160260,2019,-0.6,10,40
W2963220038,2017,-0.56,11,39
W2808452017,2018,-0.68,8,42
W3009278394,2020,-0.76,6,44
W4293330723,2022,-0.5151515151515151,8,25
W4388857350,2023,-0.4482758620689655,8,21
W4385805185,2023,-0.2222222222222222,7,11
W2982359148,2019,-0.5,12,36
W3160746813,2021,-0.5,8,24
W2981088827,2019,-0.92,1,24
W4285288662,2022,0.44,18,7
W4389165109,2023,-0.7777777777777778,2,16
W4386339092,2022,-1.0,0,2
W4365794555,2023,-0.5714285714285714,3,11
W4290996372,2022,0.2,3,2
W4321608007,2023,0.14285714285714285,4,3
W3134774040,2020,1.0,4,0
W4386360558,2023,-1.0,0,3
W4250949540,2021,-0.6,1,4
W2904845790,2018,-1.0,0,1
W4225399254,2022,1.0,1,0
W2896432579,2018,1.0,4,0
W2792478646,2017,1.0,1,0
W4313525607,2022,-1.0,0,1
W4387074830,2023,1.0,3,0
W2771910532,2017,-0.6,3,12
W4387929063,2023,1.0,2,0
W4362513220,2023,-1.0,0,1
W3207330630,2021,-0.28,18,32
W3021695453,2019,-0.07692307692307693,18,21
W3144122738,2021,0.0,20,20
W4360604301,2023,-0.15384615384615385,11,15
W3047053781,2020,-0.4,15,35
W3125048251,2020,0.02564102564102564,20,19
W3134817292,2021,-0.05263157894736842,9,10
W4365421095,2023,0.8,9,1
W4226301176,2022,-0.7142857142857143,2,12
W2998343333,2019,0.42857142857142855,10,4
W2789643397,2018,-0.25,3,5
W2547011744,2016,0.0,2,2
W4376142240,2023,-0.15555555555555556,19,26
W4226242820,2022,1.0,2,0
W4383740951,2023,-0.30434782608695654,8,15
W2292446757,2015,-0.13043478260869565,10,13
W4226442923,2022,0.45454545454545453,16,6
W4387870381,2023,-0.125,7,9
W3003811274,2020,0.07692307692307693,7,6
W4386066994,2023,-0.42857142857142855,4,10
W4390188670,2023,0.2,6,4
W4391021421,2023,-0.3333333333333333,3,6
W3155357283,2021,-0.5,1,3
W3082159561,2020,0.25,10,6
W4289261348,2022,0.3333333333333333,8,4
W2007689358,2014,-0.5,1,3
W3197488415,2021,0.6,4,1
W4317438324,2023,0.3333333333333333,6,3
W221220721,2014,-0.3333333333333333,1,2
W2547807832,2016,-1.0,0,1
W3183281974,2021,1.0,3,0
W4393242468,2023,1.0,3,0
W2815913921,2018,0.0,2,2
W4310447060,2021,1.0,1,0
W2568680725,2017,1.0,2,0
W4386915041,2023,1.0,1,0
W4384157887,2023,-1.0,0,1
W4388405354,2023,-1.0,0,1
W2588468001,2016,-0.92,2,48
W2791487310,2018,-0.8,5,45
W2949681263,2019,-0.96,1,49
W2963270598,2018,-0.92,2,48
W2945729351,2019,-0.8,5,45
W2995358840,2019,-0.96,1,49
W4292156518,2020,1.0,27,0
