conference,family,n_pairs,metric,med_junior,med_senior,diff,ci_j_lo,ci_j_hi,ci_s_lo,ci_s_hi,p_value,sig
SIGIR,DB/IR,3,citations,2.5245901639344264,1.187740498211031,1.3368496657233955,0.7068965517241379,16.190322580645162,1.0598870056497176,6.551111111111111,0.5,False
SIGIR,DB/IR,3,works,2.0,1.5535714285714286,0.4464285714285714,1.8333333333333333,3.0,1.12,4.44,1.0,False
SIGMETRICS,DB/IR,5,citations,2.762745098039216,1.3604651162790695,1.4022799817601466,0.0,11.95,0.8206824512534819,5.955223880597014,0.625,False
SIGMETRICS,DB/IR,5,works,1.604651162790698,1.4736842105263157,0.13096695226438237,0.0,2.0307692307692307,0.6444444444444444,2.2777777777777777,0.625,False
SIGMOD,DB/IR,5,citations,1.0621468926553672,2.661689464341652,-1.599542571686285,0.1291479820627802,3.480620155038759,1.4635922330097086,6.087037037037037,0.0625,False
SIGMOD,DB/IR,5,works,2.4444444444444446,2.2437357630979498,0.2007086813464949,1.0,4.0,1.3388535031847133,4.5,0.8125,False
SODA,Theory,3,citations,0.9855555555555556,2.018382352941176,-1.0328267973856207,0.4945054945054945,2.5619047619047617,1.3604651162790695,4.053175858951175,0.25,False
SODA,Theory,3,works,1.4,1.447674418604651,-0.04767441860465116,0.6,1.7142857142857142,0.875,1.7154431216931216,0.75,False
SOSP,Systems,10,citations,2.478011996572408,1.2044708676800258,1.2735411288923824,1.0823529411764703,4.806405693950177,0.4331797235023041,2.5440184049079755,0.556640625,False
SOSP,Systems,10,works,1.9666666666666668,1.3424242424242425,0.6242424242424243,1.0,2.3,0.9130434782608696,2.28,0.845703125,False
STOC,Theory,10,citations,1.460055986218777,1.6110463442717329,-0.1509903580529559,0.6685761047463175,5.653988244955729,1.3588033013380316,3.6440156874457905,0.845703125,False
STOC,Theory,10,works,1.6736111111111112,1.447674418604651,0.2259366925064601,1.2380952380952381,2.75,0.9,4.682575757575758,0.845703125,False
UIST,HCI,16,citations,1.3003799292545526,1.6481203047352637,-0.34774037548071113,0.3517904509283819,2.6324786324786325,0.9530699871189352,4.053175858951175,0.860260009765625,False
UIST,HCI,16,works,1.5875,1.9795894423955356,-0.39208944239553567,1.0,2.2222222222222223,1.3388535031847133,2.6875,0.4637451171875,False
VLDB,DB/IR,14,citations,1.245138944993522,1.5552325581395348,-0.3100936131460128,0.5154965211891208,3.1333333333333333,0.8206824512534819,2.8737864077669903,0.71484375,False
VLDB,DB/IR,14,works,1.8895833333333334,1.2,0.6895833333333334,0.9,2.6,0.8823529411764707,1.6666666666666667,0.42626953125,False
WWW,DB/IR,7,citations,1.0665074626865672,2.018382352941176,-0.951874890254609,0.5039525691699605,8.833860759493671,1.6582037996545769,4.456470588235295,0.8125,False
WWW,DB/IR,7,works,1.7142857142857142,1.3388535031847133,0.3754322111010009,1.125,3.75,1.0,3.434146341463415,1.0,False
